id,campaign_id,coupon_id,customer_id,redemption_status
26543,23,1081,865,0
432,30,108,49,0
59998,6,773,1582,0
127582,28,82,521,0
61568,21,666,1462,0
3624,28,884,1025,0
60723,4,892,981,0
38393,13,415,327,0
109809,9,869,1004,0
47623,6,406,289,0
118333,15,838,1463,0
1785,6,603,1214,0
100974,4,185,212,0
12525,6,127,460,0
45127,6,115,90,0
81089,15,834,1095,0
113352,6,510,444,0
38017,27,1079,242,0
39512,1,867,426,0
94756,27,540,1,0
22987,15,726,866,0
72409,16,279,1323,0
20947,6,129,116,0
112378,28,922,704,0
32079,28,1110,647,0
20278,1,1013,1310,0
124156,28,78,765,0
3879,6,166,133,0
38829,24,18,962,0
101055,4,180,461,0
115927,4,188,1391,0
95472,6,844,1368,0
72081,28,661,1574,1
124178,28,1015,550,0
16335,28,725,306,0
122397,28,700,454,0
47314,4,387,499,0
54985,28,288,487,0
119269,4,210,1263,0
80193,28,544,608,0
111702,1,972,300,0
123083,21,712,513,0
20917,6,116,250,0
22783,28,98,87,0
32507,6,744,1449,0
96210,4,219,149,0
121212,4,202,1016,0
82602,27,452,687,0
36409,6,117,234,0
11040,28,806,1244,0
109887,28,737,694,0
112277,1,316,1513,0
345,1,476,916,0
6173,21,889,974,0
59966,28,645,422,0
54977,4,258,1570,0
37140,15,263,1317,0
103822,28,247,1347,0
60588,1,589,524,0
47307,27,37,433,0
108728,30,1063,1159,0
89419,21,1104,406,0
7545,28,782,582,0
44340,4,194,1425,0
94924,21,667,90,0
17626,13,415,1336,0
6946,28,1017,1197,0
78868,4,713,1507,0
83795,1,593,1191,0
97841,4,227,2,0
101172,4,942,918,0
31981,6,21,828,0
97060,15,286,453,0
36805,27,744,1346,0
60620,1,936,365,0
54778,6,140,1336,0
90545,28,554,101,0
34603,6,844,1043,0
65402,21,431,1060,0
10894,16,996,1216,0
80262,30,109,1093,0
3434,28,808,119,0
100046,4,1032,706,0
100758,27,492,339,0
13166,1,2,198,0
85164,4,227,465,0
107378,4,753,438,0
24923,19,934,754,0
19607,28,11,627,0
22021,6,890,977,0
24048,28,598,1457,0
48482,6,886,1212,0
56269,15,834,1518,0
9414,7,392,385,0
101377,28,13,489,0
8260,28,1018,1014,0
60766,21,449,1547,0
31776,16,934,866,0
67468,4,210,789,0
118518,1,729,493,0
85008,4,191,459,0
42324,3,795,612,0
51613,6,26,691,0
83451,4,185,801,0
10889,4,1078,590,0
76837,28,97,1516,0
96141,6,143,731,0
78167,6,111,1298,0
109231,19,689,1152,0
128216,28,707,449,0
44265,21,291,262,0
113697,24,468,14,0
6795,6,169,286,0
84756,6,145,1237,0
44064,6,627,434,0
49505,28,79,1265,0
114858,28,884,435,0
70661,4,206,1453,0
109504,6,586,934,0
54616,6,127,647,0
99962,4,573,906,0
32596,4,234,210,0
41500,16,106,1323,0
83152,28,604,870,0
8257,21,614,432,0
15595,24,19,1037,0
25871,4,1059,819,0
114123,6,422,823,0
110993,4,1116,277,0
49911,24,989,1007,0
3417,21,308,1549,0
33961,6,118,724,0
35337,15,671,1067,0
69585,6,508,1173,0
109410,4,592,1136,1
86398,1,476,1044,0
54613,7,392,1208,0
23131,13,415,1490,0
96104,6,482,1316,0
55439,24,691,96,0
26975,21,371,1547,0
29707,24,788,155,0
30807,14,270,959,0
122809,15,671,196,0
36951,28,1000,162,0
11089,6,588,1314,0
88148,6,465,664,0
5767,28,76,435,0
15651,4,1042,289,0
103831,6,145,636,0
128314,6,145,1145,0
43092,5,743,590,0
1494,4,694,1128,0
28443,6,1032,218,0
87536,1,337,402,0
10553,4,240,1061,0
49161,23,800,943,0
51235,17,853,557,0
60703,4,190,545,0
60016,28,430,495,0
5656,15,843,1,0
143,28,437,637,0
81819,4,495,519,0
6107,4,30,1134,1
4503,24,18,142,0
100092,6,885,275,0
22154,21,900,27,0
34769,28,62,914,0
